window_start,window_end,region,count,avg_mag,max_mag,severity_breakdown,alert
2025-11-07T20:04:00Z,2025-11-07T20:05:00Z,"Santa Rosalía, Mexico",1,5.6,5.6,{'moderate': 1},
2025-11-07T20:48:00Z,2025-11-07T20:49:00Z,"Cantwell, Alaska",1,2.1,2.1,{'minor': 1},
2025-11-07T20:48:00Z,2025-11-07T20:49:00Z,"Howell, Utah",1,0.91,0.91,{'micro': 1},
2025-11-07T20:42:00Z,2025-11-07T20:43:00Z,"Big Bear Lake, CA",1,1.01,1.01,{'micro': 1},
2025-11-07T20:23:00Z,2025-11-07T20:24:00Z,"Amber, Oklahoma",1,1.53,1.53,{'micro': 1},
2025-11-07T20:21:00Z,2025-11-07T20:22:00Z,"Redwood Valley, CA",1,1.43,1.43,{'micro': 1},
2025-11-07T19:48:00Z,2025-11-07T19:49:00Z,"Mossyrock, Washington",1,1.02,1.02,{'micro': 1},
2025-11-07T19:09:00Z,2025-11-07T19:10:00Z,"Nuevo, CA",1,1.55,1.55,{'micro': 1},
2025-11-07T19:06:00Z,2025-11-07T19:07:00Z,"Adak, Alaska",1,1.16,1.16,{'micro': 1},
2025-11-07T18:40:00Z,2025-11-07T18:41:00Z,"Adak, Alaska",1,0.28,0.28,{'micro': 1},
2025-11-07T19:00:00Z,2025-11-07T19:01:00Z,"Tabango, Philippines",1,4.6,4.6,{'light': 1},
2025-11-07T18:49:00Z,2025-11-07T18:50:00Z,"Rat Islands, Aleutian Islands, Alaska",1,0.33,0.33,{'micro': 1},
2025-11-07T18:25:00Z,2025-11-07T18:26:00Z,"Dicabisagan, Philippines",1,4.5,4.5,{'light': 1},
2025-11-07T17:43:00Z,2025-11-07T17:44:00Z,"Niland, CA",1,1.35,1.35,{'micro': 1},
2025-11-07T17:40:00Z,2025-11-07T17:41:00Z,"‘Ohonua, Tonga",1,4.7,4.7,{'light': 1},
2025-11-07T17:36:00Z,2025-11-07T17:37:00Z,"Searles Valley, CA",1,0.96,0.96,{'micro': 1},
2025-11-07T17:33:00Z,2025-11-07T17:34:00Z,"Perryville, Alaska",1,2.8,2.8,{'minor': 1},
2025-11-07T17:23:00Z,2025-11-07T17:24:00Z,"Ackerly, Texas",1,1.1,1.1,{'micro': 1},
2025-11-07T17:18:00Z,2025-11-07T17:19:00Z,"Dutch Harbor, Alaska",1,0.3,0.3,{'micro': 1},
2025-11-07T17:00:00Z,2025-11-07T17:01:00Z,"Gardendale, Texas",1,0.7,0.7,{'micro': 1},
2025-11-07T16:56:00Z,2025-11-07T16:57:00Z,"Ierápetra, Greece",1,4.2,4.2,{'light': 1},
2025-11-07T16:42:00Z,2025-11-07T16:43:00Z,"Stanton, Texas",1,0.9,0.9,{'micro': 1},
2025-11-07T16:28:00Z,2025-11-07T16:29:00Z,"Amboy, Washington",1,0.19,0.19,{'micro': 1},
2025-11-07T16:04:00Z,2025-11-07T16:05:00Z,"Yakutat, Alaska",1,2.6,2.6,{'minor': 1},
2025-11-07T15:50:00Z,2025-11-07T15:51:00Z,"Coso Junction, CA",1,1.26,1.26,{'micro': 1},
2025-11-08T07:49:00Z,2025-11-08T07:50:00Z,"Egegik, Alaska",1,1.9,1.9,{'micro': 1},
2025-11-08T07:50:00Z,2025-11-08T07:51:00Z,"False Pass, Alaska",1,0.52,0.52,{'micro': 1},
2025-11-08T07:51:00Z,2025-11-08T07:52:00Z,"False Pass, Alaska",1,1.19,1.19,{'micro': 1},
2025-11-08T07:56:00Z,2025-11-08T07:57:00Z,"Brawley, CA",1,1.95,1.95,{'micro': 1},
2025-11-08T03:18:00Z,2025-11-08T03:19:00Z,"Nikolski, Alaska",1,0.82,0.82,{'micro': 1},
